S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Trial from the Previous Year (Col.4),Cases Sent for Trial during the year (Col.5),Total Cases for Trial (Col.6=Col.4+ Col.5),Cases Abated by Court (Col.7),Cases Withdrawn From Prosecution (Col.8),Cases Compounded or Compromised (Col.9),Cases Disposed off by Plea Bargaining (Col.10),Cases Quashed (Col.11),Cases Disposed off Without Trial (Col.12=Col.7+Col.8+Col.9+Col.10+Col.11),Cases Stayed or Sent to Record Room (Col.13),Cases Convicted Out of Cases from Previous Year (Col.14),Cases Convicted Out of Cases during the Year (Col.15),Cases Convicted (Col.16=Col.14+ Col.15),Cases Discharged (Col.17),Cases Acquitted (Col.18),Cases in which Trials were Completed (Col.19=Col.16+ Col.17+ Col.18),Cases Disposed off by Courts (Col.20=Col.12+ Col.19),Cases Pending Trial at End of the Year (Col.21=Col.6 - Col.20),Conviction Rate (Col.22=Col.16/ Col.19) *100,Pendency Percentage (Col.23=Col.21/ Col.6) *100
1,Offences under I.T. Act,Tampering Computer Source Documents,17,5,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1,21,0,95.5
2,Offences under I.T. Act,Computer Related offences,971,490,1461,0,2,12,0,1,15,0,3,0,3,1,40,44,59,1402,6.8,96
2.1,Offences under I.T. Act,Computer Related offences,723,230,953,0,1,0,0,0,1,0,1,0,1,0,21,22,23,930,4.5,97.6
2.1.1,Offences under I.T. Act,Ransom-ware,75,56,131,0,1,0,0,0,1,0,0,0,0,0,0,0,1,130,NA,99.2
2.1.2,Offences under I.T. Act,offences other than Ransom-ware,648,174,822,0,0,0,0,0,0,0,1,0,1,0,21,22,22,800,4.5,97.3
2.2,Offences under I.T. Act,Dishonestly Receiving Stolen Computer Resource or Communication Device,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,NA,100
2.3,Offences under I.T. Act,IdentIty Theft,142,131,273,0,0,0,0,0,0,0,2,0,2,1,2,5,5,268,40,98.2
2.4,Offences under I.T. Act,Cheating by Personation by using Computer Resource,85,116,201,0,1,12,0,1,14,0,0,0,0,0,17,17,31,170,0,84.6
2.5,Offences under I.T. Act,Violation of Privacy,7,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,NA,100
3,Offences under I.T. Act,Cyber Terrorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,Offences under I.T. Act,Publication/Transmission of Obscene/Sexually ExplicIT Act in Electronic Form,116,108,224,2,0,3,0,0,5,0,2,0,2,0,10,12,17,207,16.7,92.4
4.1,Offences under I.T. Act,Publishing or Transmitting Obscene Material in Electronic Form,51,81,132,2,0,0,0,0,2,0,1,0,1,0,2,3,5,127,33.3,96.2
4.2,Offences under I.T. Act,Publishing or Transmitting of Material Containing Sexually Explicit Act in Electronic Form,63,24,87,0,0,3,0,0,3,0,1,0,1,0,7,8,11,76,12.5,87.4
4.3,Offences under I.T. Act,Publishing or Transmitting of Material Depicting Children in Sexually Explicit Act in Electronic Form,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
4.4,Offences under I.T. Act,Preservation and Retention of Information by Intermediaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
