S. No (Col.1),Category (Col.2),State/UT (Col.3),Personal Revenge (Col.4),Anger (Col.5),Fraud (Col.6),Extortion (Col.7),Causing Disrepute (Col.8),Prank (Col.9),Sexual Exploitation (Col.10),Political Motives (Col.11),Terrorist Activities (Col.12= Col.13+Col.14+Col.15),Terrorist Activities - Terrorist Recruitment (Col.13),Terrorist Activities - Terrorist Funding (Col.14),Terrorist Activities - Others (Col.15),Inciting Hate against Country (Col.16),Disrupt Public Service (Col.17),Sale Purchase Illegal Drugs (Col.18),Developing own Business (Col.19),Spreading Piracy (Col.20),Psycho or Pervert (Col.21),Steal Information (Col.22),Abetment to Suicide (Col.23),Others (Col.24),Total (Col.25=Col.1+Col.2+Col.3+Col.4Col.5+Col.6+Col.7+Col.8+Col.9+Col.10+Col.11+Col.12+Col.15+Col.16+Col.17+Col.18+Col.19+Col.20+Col.21+Col.22+Col.23+Col.24
1,State,Andhra Pradesh,24,5,537,65,0,0,61,12,8,0,0,8,0,1,0,0,1,0,0,0,217,931
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,State,Assam,246,83,48,65,40,40,217,10,44,0,0,44,2,0,0,0,0,0,3,0,322,1120
4,State,Bihar,12,5,397,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433
5,State,Chhattisgarh,8,3,47,4,29,18,16,3,0,0,0,0,1,0,0,0,0,0,0,0,42,171
6,State,Goa,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
7,State,Gujarat,6,5,305,12,79,3,24,4,0,0,0,0,6,2,0,1,0,0,0,0,11,458
8,State,Haryana,7,6,43,4,9,2,36,0,0,0,0,0,0,1,2,7,4,0,1,0,382,504
9,State,Himachal Pradesh,5,4,8,6,3,3,10,3,0,0,0,0,0,0,0,4,1,0,0,0,9,56
10,State,Jammu & Kashmir,0,1,15,10,0,3,7,0,3,0,0,3,0,10,0,0,0,0,0,0,14,63
11,State,Jharkhand,31,11,460,17,0,6,14,16,0,0,0,0,12,23,5,36,2,2,1,0,84,720
12,State,Karnataka,36,12,2764,28,94,1,55,20,2,0,0,2,21,2,0,8,2,2,1,0,126,3174
13,State,Kerala,62,28,77,11,30,0,65,9,2,1,0,1,1,1,0,2,0,8,0,0,24,320
14,State,Madhya Pradesh,2,26,155,6,135,4,33,0,0,0,0,0,19,1,0,0,8,0,0,0,101,490
15,State,Maharashtra,47,80,2171,23,97,16,462,3,7,0,0,7,57,2,0,13,2,4,1,0,619,3604
16,State,Manipur,0,2,35,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,1,0,21,74
17,State,Meghalaya,9,1,15,1,0,0,4,1,1,0,0,1,0,0,0,1,0,0,0,0,6,39
18,State,Mizoram,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,11,0,531,57,4,0,14,6,1,0,0,1,0,0,0,13,43,0,1,0,143,824
21,State,Punjab,7,6,53,11,16,4,49,2,0,0,0,0,6,1,1,0,1,0,0,0,19,176
22,State,Rajasthan,2,3,331,19,35,3,29,1,20,0,0,20,16,0,0,23,2,0,1,0,819,1304
23,State,Sikkim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,State,Tamil Nadu,42,14,51,11,17,2,28,14,13,0,0,13,6,5,0,3,3,0,0,5,14,228
25,State,Telangana,14,201,529,95,0,0,58,2,0,0,0,0,4,0,0,0,2,0,0,0,304,1209
26,State,Tripura,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
27,State,Uttar Pradesh,41,208,3450,419,366,192,117,23,9,0,0,9,51,3,0,35,12,1,0,0,44,4971
28,State,Uttarakhand,0,3,54,17,23,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124
29,State,West Bengal,8,3,45,7,15,17,81,9,0,0,0,0,4,0,0,0,0,0,0,0,379,568
State,State,Total State(s),620,712,12139,891,997,314,1426,139,110,1,0,109,206,52,8,146,88,17,10,5,3713,21593
30,Union Territory,A&N Islands,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
31,Union Territory,Chandigarh,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32
32,Union Territory,D&N Haveli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Delhi,8,2,50,10,4,7,33,0,0,0,0,0,0,3,0,10,2,0,0,0,33,162
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Union Territory,Union Territory,Total UT(s),8,2,74,15,5,7,34,0,0,0,0,0,0,3,0,10,2,0,0,0,43,203
Total All India,Total All India,Total All India,628,714,12213,906,1002,321,1460,139,110,1,0,109,206,55,8,156,90,17,10,5,3756,21796
