S. No (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during investigation (Col.10),Final Report - Cases Ended as FR Non Cognizable (Col.11),Final Report - Cases Ended as Final Report False (Col.12),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report - Cases Abated during Investigation (Col.15),Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percent- age (Col.25=Col.23/ Col.7) *100
1,Total Offences under I.T. Act,Tampering Computer Source Documents,80,233,0,313,0,0,0,0,5,2,91,0,98,24,30,54,152,0,0,161,35.5,51.4
2,Total Offences under I.T. Act,Computer Related Offences,6742,10108,0,16850,0,47,3,5,132,419,4377,84,5017,848,1243,2091,7155,4,8,9688,29.2,57.5
2.1,Total Offences under I.T. Act,Computer Related Offences,2463,3508,0,5971,0,7,0,3,52,93,1471,29,1648,413,667,1080,2735,2,5,3234,39.5,54.2
2.1.1,Total Offences under I.T. Act,Ransom-ware,249,300,0,549,0,0,0,3,5,17,110,0,135,92,65,157,292,2,0,255,53.8,46.4
2.1.2,Total Offences under I.T. Act,Offences other than Ransom-ware,2214,3208,0,5422,0,7,0,0,47,76,1361,29,1513,321,602,923,2443,0,5,2979,37.8,54.9
2.2,Total Offences under I.T. Act,Dishonestly receiving stolen computer resource or communication device,162,360,0,522,0,0,0,2,6,20,125,0,153,31,64,95,248,2,0,272,38.3,52.1
2.3,Total Offences under I.T. Act,Identity Theft,1534,3724,0,5258,0,23,2,0,27,119,1217,9,1372,207,220,427,1822,0,1,3434,23.4,65.3
2.4,Total Offences under I.T. Act,Cheating by personation by using computer resource,2373,2269,0,4642,0,16,1,0,38,178,1502,46,1764,167,217,384,2164,0,1,2477,17.7,53.4
2.5,Total Offences under I.T. Act,Violation of Privacy,210,247,0,457,0,1,0,0,9,9,62,0,80,30,75,105,186,0,1,271,56.5,59.3
3,Total Offences under I.T. Act,Cyber Terrorism,14,13,0,27,0,0,0,0,0,0,7,0,7,1,0,1,8,0,0,19,12.5,70.4
