S. No,Category,State/UT,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities (Total),Terrorist Activities - Terrorist Recruitment,Terrorist Activities - Terrorist Funding,Terrorist Activities - Others,Inciting Hate against Country,Disrupt Public Service,Sale purchase Illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
1,State,Andhra Pradesh,34,26,733,45,7,0,92,12,1,0,0,1,1,1,0,2,14,2,0,1,236,1207
2,State,Arunachal Pradesh,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
3,State,Assam,239,46,389,153,234,0,113,9,4,1,0,3,3,0,0,0,0,0,0,0,832,2022
4,State,Bihar,5,8,351,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374
5,State,Chhattisgarh,0,1,23,2,25,0,21,4,0,0,0,0,1,0,0,1,0,0,0,0,61,139
6,State,Goa,0,0,11,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29
7,State,Gujarat,17,32,401,24,154,16,23,0,0,0,0,0,17,0,0,1,0,0,3,0,14,702
8,State,Haryana,6,9,137,21,11,2,75,0,12,0,0,12,2,0,0,2,0,0,0,0,141,418
9,State,Himachal Pradesh,4,1,18,1,3,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,22,69
10,State,Jammu & Kashmir,2,0,20,7,7,3,10,3,1,1,0,0,2,3,0,0,1,0,0,0,14,73
11,State,Jharkhand,16,6,783,44,16,0,16,1,16,0,0,16,0,0,0,32,0,0,0,0,0,930
12,State,Karnataka,27,10,5441,97,49,1,85,22,1,0,0,1,3,3,0,5,5,1,1,0,88,5839
13,State,Kerala,69,18,93,8,48,3,50,18,3,0,0,3,0,0,0,6,0,0,0,0,24,340
14,State,Madhya Pradesh,93,10,230,19,109,2,49,1,3,0,0,3,29,1,0,4,20,0,0,1,169,740
15,State,Maharashtra,99,129,1998,31,64,18,724,20,0,0,0,0,33,2,2,13,6,0,3,0,369,3511
16,State,Manipur,0,0,14,3,0,0,9,0,1,0,0,1,1,0,0,0,0,0,0,0,1,29
17,State,Meghalaya,0,0,35,0,3,0,3,3,0,0,0,0,11,0,2,0,6,0,0,0,11,74
18,State,Mizoram,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
19,State,Nagaland,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,State,Odisha,7,0,506,224,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,69,843
21,State,Punjab,14,7,48,15,19,4,85,2,0,0,0,0,3,0,2,2,0,0,0,0,38,239
22,State,Rajasthan,9,11,499,31,66,14,60,3,0,0,0,0,9,0,0,17,2,0,0,0,383,1104
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,State,Tamil Nadu,39,13,55,7,17,6,36,52,2,0,0,2,39,1,0,3,1,0,4,0,20,295
25,State,Telangana,19,3,732,51,3,2,77,14,0,0,0,0,3,0,0,0,0,0,0,0,301,1205
26,State,Tripura,5,0,8,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20
27,State,Uttar Pradesh,47,73,2351,199,343,191,343,45,0,0,0,0,59,9,0,75,614,0,0,0,1931,6280
28,State,Uttarakhand,3,41,46,16,12,22,13,0,0,0,0,0,0,0,0,0,0,0,5,0,13,171
29,State,West Bengal,28,9,68,25,2,3,39,1,0,0,0,0,2,0,0,0,0,0,0,0,158,335
State,State,Total State(s),783,457,14992,1025,1205,288,1990,218,44,2,0,42,218,21,6,163,669,4,16,2,4903,27004
30,Union Territory,A&N Islands,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
31,Union Territory,Chandigarh,0,0,19,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
32,Union Territory,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Delhi,11,4,36,11,4,1,35,0,0,0,0,0,0,0,0,35,2,0,0,0,50,189
35,Union Territory,Lakshadweep,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
36,Union Territory,Puducherry,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Union Territory,Union Territory,Total UT(s),11,4,59,25,7,8,40,0,0,0,0,0,0,0,0,35,2,0,0,0,53,244
Total All India,Total All India,Total All India,794,461,15051,1050,1212,296,2030,218,44,2,0,42,218,21,6,198,671,4,16,2,4956,27248
,,,,,,,,,,,,,,,,,,,,,,,,
